ip_src,ip_dst,udp_sport,udp_dport,packet_count,duration_sec,packet_rate,most_common_frame_len,most_common_frame_len_count,most_common_payload_len,motion_like_packet_count,preferred_beacon_src,sustained_factor,score
185.25.182.19,192.168.1.6,27059,61432,8,1.6084680557250977,4.973676643142035,97,7,55,8,192.168.1.6,0.053615601857503255,0.3039912230068376
155.133.246.39,192.168.1.6,27053,61431,8,1.609292984008789,4.97112712196868,97,7,55,8,192.168.1.6,0.05364309946695964,0.3039912230068376
155.133.248.41,192.168.1.6,27019,61433,8,1.709954023361206,4.678488363257064,97,7,55,8,192.168.1.6,0.056998467445373534,0.3039912230068376
162.254.198.156,192.168.1.6,27080,61437,8,1.711751937866211,4.673574378991165,97,7,55,8,192.168.1.6,0.0570583979288737,0.3039912230068376
146.66.155.73,192.168.1.6,27048,61434,8,1.7111968994140625,4.675090284899015,97,7,55,8,192.168.1.6,0.057039896647135414,0.3039912230068376
155.133.249.179,192.168.1.6,27055,61436,8,1.8073420524597168,4.426389564229049,97,7,55,8,192.168.1.6,0.06024473508199056,0.3039912230068376
155.133.230.103,192.168.1.6,27032,61435,8,1.8086721897125244,4.423134300125189,97,7,55,8,192.168.1.6,0.06028907299041748,0.3039912230068376
155.133.255.98,192.168.1.6,27032,61438,8,3.116913080215454,2.5666419929319964,97,7,55,8,192.168.1.6,0.10389710267384847,0.3039912230068376
192.168.1.6,172.253.63.138,53317,443,82,678.2227268218994,0.12090423507959668,1292,5,1250,15,192.168.1.6,1.0,0.29733409452587817
192.168.1.1,239.255.255.250,48387,1900,12,0.03356504440307617,357.5147959256155,342,3,300,12,192.168.1.6,0.0011188348134358725,0.23569331233029125
142.250.31.139,192.168.1.6,443,57004,17,0.0766911506652832,221.6683392089932,1292,2,1250,9,192.168.1.6,0.0025563716888427736,0.21361690440948614
142.250.31.84,192.168.1.6,443,56022,17,0.09802389144897461,173.42710790918952,1292,2,1250,8,192.168.1.6,0.0032674630482991537,0.2136169044094861
142.250.31.84,192.168.1.6,443,64785,17,0.09335899353027344,182.09279424683842,1292,2,1250,8,192.168.1.6,0.0031119664510091145,0.2136169044094861
192.168.1.6,192.168.1.1,59185,53,12,140.93172097206116,0.08514761557746765,94,2,52,3,192.168.1.6,1.0,0.20685995844243402
172.253.62.95,192.168.1.6,443,49844,13,0.04764604568481445,272.8453077931566,1292,3,1250,9,192.168.1.6,0.0015882015228271484,0.20612992837071417
172.253.62.95,192.168.1.6,443,57216,16,0.0637049674987793,251.15780806742566,1292,2,1250,6,192.168.1.6,0.0021234989166259766,0.20105120415010458
142.251.163.95,192.168.1.6,443,58856,15,0.05658102035522461,265.1065658736379,1292,2,1250,7,192.168.1.6,0.0018860340118408204,0.18848550389072305
142.251.111.101,192.168.1.6,443,65021,15,0.04145503044128418,361.83787203450754,1292,2,1250,8,192.168.1.6,0.001381834348042806,0.188485503890723
142.250.31.138,192.168.1.6,443,59013,15,0.07371807098388672,203.47792338840088,1292,2,1250,9,192.168.1.6,0.002457269032796224,0.188485503890723
142.251.111.95,192.168.1.6,443,51305,12,0.04795503616333008,250.2344062285595,1292,2,1250,6,192.168.1.6,0.001598501205444336,0.15078840311257843
142.251.111.95,192.168.1.6,443,50158,11,0.05866384506225586,187.50901834556643,1292,2,1250,7,192.168.1.6,0.001955461502075195,0.13822270285319688
192.168.1.2,224.0.0.251,5353,5353,48,619.7412040233612,0.0774516841681397,93,18,51,36,192.168.1.6,1.0,0.12644390441665168
142.250.31.94,192.168.1.6,443,58793,10,0.026755094528198242,373.7605931259412,1292,2,1250,6,192.168.1.6,0.0008918364842732747,0.12565700259381535
192.168.1.4,224.0.0.251,5353,5353,47,628.3510849475861,0.07479894779511762,100,10,58,39,192.168.1.6,1.0,0.09754645726722538
31.13.66.56,192.168.1.6,443,50273,11,0.027714014053344727,396.91110709646335,1274,1,1232,6,192.168.1.6,0.0009238004684448242,0.08739876288458254
31.13.66.56,192.168.1.6,443,61408,10,0.01773691177368164,563.796005054171,1274,1,1232,6,192.168.1.6,0.0005912303924560547,0.07945342080416595
31.13.66.56,192.168.1.6,443,62038,10,0.010117053985595703,988.4300325210916,1274,1,1232,6,192.168.1.6,0.0003372351328531901,0.07945342080416594
192.168.1.1,192.168.1.6,53,51543,35,540.2754819393158,0.06478176628405882,158,10,116,34,192.168.1.6,1.0,0.07614024993455139
172.253.63.138,192.168.1.6,443,53317,87,678.2472949028015,0.12827179799142113,1292,4,1250,19,192.168.1.6,1.0,0.07083842682555215
142.251.111.101,192.168.1.6,443,54236,7,0.06580805778503418,106.36995279310483,723,1,681,2,192.168.1.6,0.002193601926167806,0.06078972511496322
192.168.1.3,224.0.0.251,5353,5353,38,706.5652539730072,0.053781302981326204,102,6,60,6,192.168.1.6,1.0,0.05662802504376019
192.168.1.1,192.168.1.6,53,59185,10,140.93192887306213,0.07095624164065074,203,2,161,10,192.168.1.6,1.0,0.036375684565687336
192.168.1.6,172.21.222.26,53623,161,8,600.563502073288,0.013320822814543505,119,2,77,2,192.168.1.6,1.0,0.030511382524788667
192.168.1.2,192.168.1.255,137,137,6,608.6533398628235,0.009857828105161243,92,6,50,6,192.168.1.6,1.0,0.010667398602956929
172.21.222.26,192.168.1.6,161,53623,8,600.555624961853,0.013320997535420896,92,3,50,5,192.168.1.6,1.0,0.010269438632272443
