timestamp,time,fps,hmd_x,hmd_y,hmd_z,hmd_qx,hmd_qy,hmd_qz,hmd_qw,left_x,left_y,left_z,left_qx,left_qy,left_qz,left_qw,right_x,right_y,right_z,right_qx,right_qy,right_qz,right_qw
1770065096.085143,36.208946,31.105093,0.068876882,-0.003307931,0.019151881,-0.001014092,0.705160680,-26.831484814,,-0.008387061,0.015764419,-0.711064560,0.999854851,-0.003109809,-0.016322003,-0.003768127,0.000233244,0.081571203,-0.006851619,0.998449722,0.041405659,0.030018301,-0.021968740
1770065096.129389,36.253192,22.600934,0.064857016,-0.003640557,0.019159513,-0.001688732,-0.897701956,-26.871422651,,-0.008262778,0.012024986,-0.712163323,0.999894809,-0.003404073,-0.013548251,-0.003902407,-0.004102576,-0.028871805,-0.007911213,0.999715479,0.013616976,-0.014805197,-0.012819682
1770065096.182098,36.305901,18.972141,0.058847630,-0.003697409,0.019116904,-0.001079907,-0.584063234,-26.911451926,,-0.009033335,0.024196123,-0.713262087,0.999930943,-0.001197089,-0.010927598,-0.004155017,0.004850529,0.038040790,-0.007911213,0.999607004,-0.019028948,0.012717769,-0.016186288
1770065096.231505,36.355308,20.240045,0.055529948,-0.003172813,0.019204029,0.000697194,-0.471388897,-26.951536205,,-0.008729822,0.047333867,-0.714360850,0.999965734,0.001745556,-0.006453351,-0.004882494,0.003972615,-0.068604842,-0.007204817,0.999323985,0.029867361,-0.010873490,0.018473805
1770065096.305901,36.429704,13.441559,0.053216552,-0.002847940,0.019353477,0.001503470,-0.071443831,-26.991629339,,-0.007152077,0.031556334,-0.715459613,0.999851317,-0.000461428,-0.016379806,-0.005369707,0.004035612,-0.076213968,-0.009324005,0.999697598,0.005711528,0.001184765,0.023889058
1770065096.361040,36.484843,18.135962,0.051246083,-0.001939403,0.019523275,0.001750282,-0.039735099,-27.031749257,,-0.005926250,0.033965393,-0.716558376,0.999807417,0.000127101,-0.019104348,-0.004487372,0.003400439,-0.082704866,-0.011796391,0.999552530,-0.025227507,0.000136309,0.016071559
1770065096.404996,36.528799,22.750125,0.048148854,-0.001306639,0.019576695,-0.001984934,-0.132602924,-27.071885005,,-0.005051033,0.025670322,-0.717657140,0.999692253,-0.000314296,-0.024425327,-0.004324796,0.003231676,-0.070177260,-0.014268776,0.999140544,0.023328768,0.011931429,0.032118264
1770065096.458118,36.581921,18.824577,0.043168248,0.000544584,0.019717239,-0.001968507,-0.413830988,-27.112080760,,-0.003706156,0.026141347,-0.718755903,0.999735339,0.000568498,0.022571453,-0.004411229,0.004370248,-0.003678611,-0.015681568,0.999484288,-0.022589222,0.021891752,0.006452685
1770065096.506530,36.630333,20.656000,0.037597046,0.003479702,0.019899121,-0.001145482,-0.685750908,-27.152303860,,-0.001843213,0.013326596,-0.719854666,0.999957916,-0.001049957,0.007785659,-0.004737925,-0.002223065,-0.086105545,-0.016034766,0.999901033,0.011470597,0.006952292,0.004244547
1770065096.536882,36.660685,32.946891,0.033544521,-0.005260123,0.019965895,-0.000849299,-0.903958251,-27.192535596,,-0.000868570,0.000828259,-0.720953430,0.999987543,-0.001785618,-0.001591669,-0.004380875,0.000109562,-0.003569375,-0.016387964,0.999634299,-0.004086281,-0.024239245,0.011270776
1770065096.581766,36.705569,22.279671,0.022630735,0.001177533,0.020033306,-0.002050490,0.187597278,-27.232848384,,0.001274338,-0.035505371,-0.722052193,0.999686261,-0.004728264,-0.024264417,-0.004032571,0.003759349,-0.051365729,-0.017447558,0.998195482,0.038204235,-0.033150087,0.032361827
1770065096.658039,36.781842,13.110764,-0.004631957,-0.001043971,0.019886402,-0.001277121,0.235908078,-27.273194698,,0.002005648,-0.093506141,-0.723150956,0.999864845,-0.010760687,0.012357546,-0.001337718,-0.001211066,-0.010304617,-0.019919944,0.999005963,-0.026789243,-0.023975082,0.026355594
1770065096.712691,36.836494,18.297600,-0.019851381,0.002631155,0.019754124,-0.001639124,-0.835108493,-27.313582505,,0.001533371,0.115697183,-0.724249719,0.999886827,-0.013261935,0.006309345,-0.003262907,0.000944707,0.058674832,-0.021332736,0.999389689,-0.034616738,-0.003530210,-0.003077172
1770065096.763172,36.886975,19.809495,-0.029341748,0.003316712,0.019666364,-0.002083400,0.671926023,-27.353963546,,0.000880556,0.103835269,-0.725348483,0.999859975,-0.014291861,0.007127176,-0.004997738,-0.004186957,-0.016487930,-0.023451924,0.999224235,-0.018081423,0.003286797,0.034830836
1770065096.843010,36.966813,12.525358,-0.030737950,0.002958613,0.019757304,-0.001079665,0.455030976,-27.394273759,,0.004790904,0.106643439,-0.726447246,0.999743109,-0.013261935,0.016801330,-0.007453356,-0.002588911,-0.022303292,-0.024864716,0.999041657,0.024210437,-0.015324305,0.033087570
