replay_id,channel,rank,windows_used,responsive_threshold,flow_ip_src,flow_ip_dst,flow_udp_sport,flow_udp_dport,frame_len,offset,width,encoding,delta_view,score,sine_cycles,responsiveness,affine_scale,affine_offset
16_left_x,left_x,4,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,2,uint16_le,True,0.08962035840034599,3.0,5583.5019013725905,-2.1657293847955373e-08,-0.00044280086711004715
16_left_x,left_x,5,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,int32_be,True,0.08709642361374864,3.0,2791.7509506862953,-2.571467274629474e-13,-0.0004425655886913236
16_left_x,left_x,6,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,2,int16_be,True,0.08709640536914424,3.0,5583.5019013725905,-1.685233035660307e-08,-0.00044256557966159635
16_left_x,left_x,7,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,2,int16_le,True,0.08704442578219157,3.0,5583.5019013725905,1.0459168510057279e-08,-0.0004410827245098507
16_left_x,left_x,8,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,2,int16_be,False,0.08615327911508304,1.0,5583.5019013725905,1.9393017987198147e-06,-0.00042793822094879485
16_left_x,left_x,9,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,int32_be,False,0.08615326858013299,1.0,2791.7509506862953,2.959138399912257e-11,-0.0004283324533055009
16_left_x,left_x,10,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,2,uint16_be,True,0.08541250865549911,2.0,5583.5019013725905,2.6339894817470113e-09,-0.00029417579749258497
16_left_x,left_x,11,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,uint32_be,True,0.08541250793772077,2.0,2791.7509506862953,4.0191045074002156e-14,-0.0002941757964682196
16_left_x,left_x,12,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,2,int16_le,False,0.08407390805604058,2.0,5583.5019013725905,1.3274086296564608e-06,0.00033877395112327585
16_left_x,left_x,13,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,float32_le,True,0.05758837729138758,2.0,2791.7509506862953,0.010144198235025598,-0.000307153363949545
16_left_x,left_x,14,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,int32_le,True,0.05758837729138758,2.0,2791.7509506862953,-2.418565329319382e-09,-0.00030715336394954374
16_left_x,left_x,15,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,uint32_le,True,0.05758837729138758,2.0,2791.7509506862953,-2.418565329319382e-09,-0.00030715336394954374
16_left_x,left_x,16,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,uint32_le,False,0.019195377054209633,3.0,2791.7509506862953,2.078811954250851e-09,-6.703380103795969
16_left_x,left_x,17,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,float32_le,False,0.01919537705420963,3.0,2791.7509506862953,-0.008719169294953597,-0.024496423854929082
16_left_x,left_x,18,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,int32_le,False,0.01919537705420963,3.0,2791.7509506862953,2.0788119542477143e-09,2.2250492542419273
16_left_y,left_y,1,3,10946.678115977564,192.168.1.6,192.168.1.14,52428,60376,152,66,2,uint16_le,False,0.14403826447412707,1.0,5664.327003951075,3.595609096234193e-06,-0.11545014343247914
